PassengerId,HomePlanet,CryoSleep,Destination,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,GroupNum,Deck,Side
0001_01,Europa,False,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,False,0001,1,B,S
0002_01,Earth,False,TRAPPIST-1e,24.0,109.0,9.0,25.0,549.0,44.0,True,0002,1,F,S
0003_01,Europa,False,TRAPPIST-1e,58.0,43.0,3576.0,0.0,6715.0,49.0,False,0003,2,A,S
0003_02,Europa,False,TRAPPIST-1e,33.0,0.0,1283.0,371.0,3329.0,193.0,False,0003,2,A,S
0004_01,Earth,False,TRAPPIST-1e,16.0,303.0,70.0,151.0,565.0,2.0,True,0004,1,F,S
0005_01,Earth,False,PSO J318.5-22,44.0,0.0,483.0,0.0,291.0,0.0,True,0005,1,F,S
0006_01,Earth,False,TRAPPIST-1e,26.0,42.0,1539.0,3.0,0.0,0.0,True,0006,2,F,S
0006_02,Earth,True,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,306.7894819713431,True,0006,2,G,S
0007_01,Earth,False,TRAPPIST-1e,35.0,0.0,785.0,17.0,216.0,0.0,True,0007,1,F,S
0008_01,Europa,True,55 Cancri e,14.0,0.0,0.0,0.0,0.0,0.0,True,0008,3,B,S
0008_02,Europa,True,TRAPPIST-1e,34.0,0.0,0.0,174.90603284902085,0.0,0.0,True,0008,3,B,S
0008_03,Europa,False,55 Cancri e,45.0,39.0,7295.0,589.0,110.0,124.0,True,0008,3,B,S
0009_01,Mars,False,TRAPPIST-1e,32.0,73.0,0.0,1123.0,0.0,113.0,True,0009,1,F,S
0010_01,Earth,False,TRAPPIST-1e,48.0,719.0,1.0,65.0,0.0,24.0,False,0010,1,G,S
0011_01,Earth,False,TRAPPIST-1e,28.0,8.0,974.0,12.0,2.0,7.0,True,0011,1,F,S
0012_01,Earth,False,TRAPPIST-1e,31.0,32.0,0.0,876.0,0.0,0.0,False,0012,1,F,S
0014_01,Mars,False,55 Cancri e,27.0,1286.0,122.0,174.90603284902085,0.0,0.0,False,0014,1,F,S
0015_01,Earth,False,55 Cancri e,24.0,0.0,1.0,0.0,0.0,637.0,False,0015,1,F,S
0016_01,Mars,True,TRAPPIST-1e,45.0,0.0,0.0,0.0,0.0,0.0,True,0016,1,F,S
0017_01,Earth,False,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,True,0017,2,G,S
0017_02,Earth,False,55 Cancri e,14.0,412.0,0.0,1.0,0.0,679.0,False,0017,2,F,S
0020_01,Earth,True,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,False,0020,6,E,S
0020_02,Earth,True,55 Cancri e,49.0,0.0,0.0,0.0,0.0,0.0,False,0020,6,E,S
0020_03,Earth,True,55 Cancri e,29.0,0.0,0.0,174.90603284902085,0.0,0.0,False,0020,6,E,S
0020_04,Earth,False,TRAPPIST-1e,10.0,0.0,0.0,0.0,0.0,0.0,True,0020,6,E,S
0020_05,Earth,True,PSO J318.5-22,1.0,222.89785157787045,0.0,0.0,0.0,0.0,False,0020,6,E,S
0020_06,Earth,False,TRAPPIST-1e,7.0,0.0,0.0,0.0,0.0,0.0,False,0020,6,E,S
0022_01,Mars,False,TRAPPIST-1e,21.0,980.0,2.0,69.0,0.0,0.0,False,0022,1,D,S
0024_01,Europa,True,TRAPPIST-1e,62.0,0.0,0.0,174.90603284902085,0.0,0.0,True,0024,1,C,S
0025_01,Earth,False,TRAPPIST-1e,15.0,0.0,225.0,0.0,998.0,0.0,False,0025,1,F,S
0026_01,Europa,False,55 Cancri e,34.0,22.0,6073.0,0.0,1438.0,328.0,False,0026,1,C,S
0028_01,Mars,False,TRAPPIST-1e,43.0,1125.0,0.0,136.0,48.0,0.0,False,0028,1,F,S
0030_01,Earth,False,TRAPPIST-1e,32.0,0.0,850.0,81.0,437.0,453.0,False,0030,1,G,S
